날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"2024-07-01","쇠고기죽(완)(16)","265kcal","찹쌀밥","351.5kcal","잡곡밥","327.9kcal","","","2967.11kcal"
"2024-07-01","돈육김치두루치기(05)(06)(09)(10)","203.3kcal","쇠고기미역국(05)(06)(16)","30.61kcal","순두부찌개(01)(05)(06)(09)(10)(16)","104.59kcal","","","2967.11kcal"
"2024-07-01","오이지무침","3.19kcal","잡채(05)(06)(16)","252.85kcal","제육간장불고기(05)(10)","117.99kcal","","","2967.11kcal"
"2024-07-01","백색우유(02)","65kcal","파인애플돼지갈비찜(05)(06)(10)","881.25kcal","양배추쌈(05)(06)","67.43kcal","","","2967.11kcal"
"2024-07-01","백김치","0kcal","스틱치즈케익(01)(02)(06)(06)","165.5kcal","배추김치(09)","0kcal","","","2967.11kcal"
"2024-07-01","","0","에이드","115kcal","","0","","","2967.11kcal"
"2024-07-01","","0","열무김치(09)","16kcal","","0","","","2967.11kcal"
"2024-07-02","밥","337.25kcal","도토리묵김치말이국수(01)(05)(06)","328.75kcal","하이라이스(02)(05)(06)(10)","645.33kcal","","","3264.84kcal"
"2024-07-02","떡만둣국(01)(05)(06)(16)","245.95kcal","흑미밥(소량)","125.25kcal","꿔바로우(01)(05)(06)(15)","922.36kcal","","","3264.84kcal"
"2024-07-02","햄슬라이스야채볶음(05)(06)(10)","155.79kcal","수육동파육(05)(06)(10)","288.53kcal","단무지","6kcal","","","3264.84kcal"
"2024-07-02","조미김","28kcal","오이된장무침(05)(06)(16)","21.73kcal","배추김치(09)","0kcal","","","3264.84kcal"
"2024-07-02","백색우유(02)","65kcal","대추방울토마토(12)","8.5kcal","과일주스","86.4kcal","","","3264.84kcal"
"2024-07-02","깍두기(09)","0kcal","섞박지(09)","0kcal","","0","","","3264.84kcal"
"2024-07-03","밥","337.25kcal","혼합잡곡밥","339.25kcal","밀쌀밥","320.24kcal","","","3407.74kcal"
"2024-07-03","닭고기무국(05)(06)(15)","66.76kcal","돼지고기짜글이(05)(06)(10)(16)","189.27kcal","새우살배추국(05)(06)(09)","37.67kcal","","","3407.74kcal"
"2024-07-03","비엔나소시지야채볶음(05)(06)(10)","207.61kcal","안동찜닭(05)(06)(15)","905.94kcal","멸치아몬드볶음(05)(06)(14)","103.69kcal","","","3407.74kcal"
"2024-07-03","알마늘오징어젓무침(17)","43.03kcal","두부구이&양념장(05)(06)","225.1kcal","소불고기(05)(06)(16)","566.93kcal","","","3407.74kcal"
"2024-07-03","백색우유(02)","65kcal","매실에이드","0kcal","깍두기(09)","0kcal","","","3407.74kcal"
"2024-07-03","배추김치(09)","0kcal","총각김치(09)","0kcal","","0","","","3407.74kcal"
"2024-07-04","밥","337.25kcal","검은콩밥","590.15kcal","해시브라운버거(01)(02)(05)(06)(10)(12)(15)(16)","669.61kcal","","","4017.71kcal"
"2024-07-04","호박된장찌개(05)(06)","68.64kcal","감자된장국(05)(06)","39.57kcal","버팔로윙(05)(06)(15)","523.95kcal","","","4017.71kcal"
"2024-07-04","돈육야채볶음(05)(06)(10)","291.5kcal","오리고추장불고기(05)(06)(15)","558.29kcal","토마토스크램블에그(01)(05)(12)","485.99kcal","","","4017.71kcal"
"2024-07-04","무말랭이무침","85.35kcal","모듬쌈(05)(06)","58.85kcal","탄산음료(콜라)","0kcal","","","4017.71kcal"
"2024-07-04","깍두기(09)","0kcal","블루베리","25.5kcal","시리얼(02)(04)(06)","218.06kcal","","","4017.71kcal"
"2024-07-04","","0","오이소박이","0kcal","백색우유(02)","65kcal","","","4017.71kcal"
"2024-07-05","밥","337.25kcal","현미밥","337.65kcal","흑미밥","338.25kcal","","","3402.55kcal"
"2024-07-05","어묵국(05)(06)","69.6kcal","쇠고기콩나물국(05)(06)(16)","36.06kcal","유부장국(01)(05)(06)","39.02kcal","","","3402.55kcal"
"2024-07-05","돼지고기부추볶음(05)(06)(10)","493.55kcal","마파두부(05)(06)(10)","367.8kcal","청양크림돈가스(01)(02)(05)(06)(10)(12)(16)","796.31kcal","","","3402.55kcal"
"2024-07-05","계란말이(01)(12)","108.15kcal","비름나물고추장무침(05)(06)","31.93kcal","단무지","6kcal","","","3402.55kcal"
"2024-07-05","딸기우유(02)","190kcal","짜먹는발효유(02)","0kcal","쫄면무침(05)(06)","162.66kcal","","","3402.55kcal"
"2024-07-05","배추김치(09)","0kcal","배추김치(09)","0kcal","수박","88.32kcal","","","3402.55kcal"
"2024-07-06","군모닝(01)(02)(05)(06)(10)","475.1kcal","컵라면(06)","365kcal","밥","337.25kcal","","","2611.01kcal"
"2024-07-06","웨지감자구이(02)(05)(06)","186.9kcal","","0","육개장(01)(05)(06)(15)(16)","126.25kcal","","","2611.01kcal"
"2024-07-06","옥수수스프(02)(05)(06)","114.27kcal","","0","대패삼겹살굴소스볶음(05)(06)(10)(18)","354.17kcal","","","2611.01kcal"
"2024-07-06","카스테라(01)(02)(05)(06)","180.8kcal","","0","간장깻잎지","8.07kcal","","","2611.01kcal"
"2024-07-06","백색우유(02)","65kcal","","0","배추김치(09)","0kcal","","","2611.01kcal"
"2024-07-06","바나나","81.6kcal","","0","과일주스","86.4kcal","","","2611.01kcal"
"2024-07-06","토마토그린샐러드(12)","12.14kcal","","0","","0","","","2611.01kcal"
"2024-07-06","시리얼(02)(04)(06)","218.06kcal","","0","","0","","","2611.01kcal"
"2024-07-07","밥","337.25kcal","밥","337.25kcal","밥","337.25kcal","","","3108.83kcal"
"2024-07-07","사골우거지국(05)(06)(16)","52.89kcal","나가사끼짬뽕찌개(05)(06)(09)(10)(15)(17)(18)","151.1kcal","순두부김치찌개(05)(09)(10)(16)","22.62kcal","","","3108.83kcal"
"2024-07-07","감자채볶음","76.18kcal","닭매운찜(05)(06)(15)","544.9kcal","돈육청경채볶음(05)(06)(10)","478.32kcal","","","3108.83kcal"
"2024-07-07","깻잎미트볼(01)(02)(05)(06)(10)(12)(15)(16)(18)","192.43kcal","양파간장절임(05)(06)","21.64kcal","쌈무","35kcal","","","3108.83kcal"
"2024-06-11","오이지무침","3.19kcal","단무지","6kcal","아삭이고추겉절이무침","23.2kcal","","","2941.43kcal"
"2024-06-11","백색우유(02)","65kcal","탄산음료(자몽)","0kcal","깍두기(09)","15.2kcal","","","2941.43kcal"
"2024-06-11","배추김치(09)","0kcal","흑임자샐러드(01)(05)","50.43kcal","","0","","","2941.43kcal"
"2024-06-12","밥","285kcal","중화식매콤돈육덮밥(10)(18)","618.46kcal","베이컨대파볶음밥(05)(06)(10)(18)","597.17kcal","","","3356.01kcal"
"2024-06-12","쇠고기애호박찌개(05)(06)(09)(16)","50.41kcal","부추재첩국(18)","154.15kcal","유부장국(01)(05)(06)","39.02kcal","","","3356.01kcal"
"2024-06-12","볼어묵볶음(05)(06)","189.53kcal","닭꼬치(데리맛)(05)(06)(15)","123.2kcal","매콤바베큐폭립(02)(05)(06)(10)(12)(13)","964.26kcal","","","3356.01kcal"
"2024-06-12","멸치고추장볶음(05)(06)","120.81kcal","열대과일샐러드(02)","50.1kcal","오미자모듬피클","65.1kcal","","","3356.01kcal"
"2024-06-12","백색우유(02)","65kcal","갓김치(09)","12.8kcal","대추방울토마토(12)","8.5kcal","","","3356.01kcal"
"2024-06-12","열무김치(09)","12.5kcal","","0","배추김치(09)","0kcal","","","3356.01kcal"
"2024-06-13","밥","285kcal","검은콩밥","290.65kcal","흑미밥","288.75kcal","","","2897.98kcal"
"2024-06-13","쇠고기우거지국(05)(06)(16)","62.41kcal","차돌된장찌개(05)(06)(16)","156.38kcal","매운버섯두부전골(05)(06)(09)","55.79kcal","","","2897.98kcal"
"2024-06-13","마파두부(조식)(05)(06)(10)","308.21kcal","매콤돈육연탄불고기(05)(06)(10)","468.81kcal","블랙페퍼함박스테이크(05)(06)(10)(16)","239.59kcal","","","2897.98kcal"
"2024-06-13","부추표고버섯볶음(18)","38.15kcal","브로콜리깨소금무침","14.56kcal","고구마샐러드(01)","168.88kcal","","","2897.98kcal"
"2024-06-13","바나나맛우유(02)","237.8kcal","토핑형발효유(02)(06)","165kcal","깍두기(09)","15.2kcal","","","2897.98kcal"
"2024-06-13","배추김치(09)","0kcal","총각김치(수의)","16.4kcal","과일주스","86.4kcal","","","2897.98kcal"
"2024-06-14","밥","285kcal","찰보리밥","285.8kcal","찹쌀밥","302kcal","","","3639.39kcal"
"2024-06-14","돼지고기짜글이(05)(06)(10)(16)","189.27kcal","순대내장탕(05)(06)(09)(10)(16)","438.15kcal","부대찌개(05)(06)(09)(10)(12)(15)(16)","276.31kcal","","","3639.39kcal"
"2024-06-14","햄슬라이스야채볶음(05)(06)(10)","155.79kcal","미나리골뱅이무침&소면(05)(06)(18)","206.78kcal","뿌링클치킨&치즈볼(01)(02)(04)(05)(06)(15)","904.87kcal","","","3639.39kcal"
"2024-06-14","오믈렛(피자)(01)(02)(12)","324.2kcal","양념고추지","49.6kcal","치킨무","7.5kcal","","","3639.39kcal"
"2024-06-14","백색우유(02)","65kcal","수박","88.32kcal","이온음료(게토레이)","0kcal","","","3639.39kcal"
"2024-06-14","배추김치(09)","0kcal","섞박지(09)","22.8kcal","오이소박이(09)","38kcal","","","3639.39kcal"
"2024-06-15","주먹밥(01)(02)(05)(10)(15)(16)","517kcal","건빵(개선품)(01)(02)(03)","249kcal","밥","285kcal","","","2472.63kcal"
"2024-06-15","시리얼(02)(04)(06)","218.06kcal","","0","버섯샤브국(02)(05)(06)(16)","24.22kcal","","","2472.63kcal"
"2024-06-15","소시지스낵랩(01)(05)(06)(12)","398.6kcal","","0","큐브스테이크(01)(02)(05)(06)(10)(13)(16)","255.1kcal","","","2472.63kcal"
"2024-06-15","백색우유(02)","65kcal","","0","푸실리샐러드(02)(12)","221.25kcal","","","2472.63kcal"
"2024-06-15","콘샐러드(01)(05)","120kcal","","0","배추김치(09)","0kcal","","","2472.63kcal"
"2024-06-15","포션치즈(02)","33kcal","","0","","0","","","2472.63kcal"
"2024-06-15","과일주스","86.4kcal","","0","","0","","","2472.63kcal"
"2024-06-16","밥","285kcal","밥","285kcal","밥","285kcal","","","2779.10kcal"
"2024-06-16","육개장(01)(05)(06)(15)(16)","142.96kcal","쇠고기감자국(05)(06)(16)","67.66kcal","햄두부찌개(05)(06)(10)(16)","112.95kcal","","","2779.10kcal"
"2024-06-16","사각어묵볶음(05)(06)(18)","128.31kcal","대패삼겹살고추장볶음(05)(06)(10)","347.43kcal","청양풍닭볶음(05)(06)(15)","567.13kcal","","","2779.10kcal"
"2024-06-16","콘치즈계란찜(01)(02)","98.14kcal","꽃맛살샐러드(01)(05)(06)","202.09kcal","아삭이고추된장무침(05)(06)","35.83kcal","","","2779.10kcal"
"2024-06-16","바나나우유(02)","190kcal","샌드형아이스크림(02)(06)","0kcal","깍두기(09)","15.2kcal","","","2779.10kcal"
"2024-06-16","배추김치(09)","0kcal","총각김치(수의)","16.4kcal","","0","","","2779.10kcal"
"2024-06-17","새우계란죽(완)(01)(09)","265kcal","스팸김치볶음밥(01)(05)(06)(10)(13)(18)","541.24kcal","마살라커리(02)(05)(06)(12)(13)(15)(16)","593.4kcal","","","3349.99kcal"
"2024-06-17","비엔나볶음&케찹(05)(06)(10)(12)","513.15kcal","팽이버섯된장국(05)(06)","35.98kcal","후라이드윙(12)","693.4kcal","","","3349.99kcal"
"2024-06-17","락교오징어젓무침(17)","74.52kcal","궁중녹두전(05)(06)","40.4kcal","토마토그린샐러드(12)","12.14kcal","","","3349.99kcal"
"2024-06-17","시리얼(02)(04)(06)","218.06kcal","핫도그&시즈닝(01)(02)(04)(05)(06)(10)(12)","192.5kcal","메론","72kcal","","","3349.99kcal"
"2024-06-17","백색우유(02)","65kcal","파김치(09)","18kcal","깍두기(09)","15.2kcal","","","3349.99kcal"
"2024-06-18","감자수제비(05)(06)","109.2kcal","미트볼토마토소스조림(02)(05)(06)(10)(12)(15)(16)","811.89kcal","밀쌀밥","270.74kcal","","","3699.55kcal"
"2024-06-18","밥","285kcal","흑당버블티(02)","78.2kcal","햄감자찌개(05)(06)(10)","110.47kcal","","","3699.55kcal"
"2024-06-18","돈육메추리알조림(01)(05)(06)(10)","220.7kcal","바게트볼(02)(06)","120kcal","달고마밀떡볶이(05)(06)","328.81kcal","","","3699.55kcal"
"2024-06-18","연두부샐러드(05)(06)(18)","223.75kcal","크래미양상추샐러드(01)(05)(06)(08)","145.59kcal","치즈등심돈가스(01)(02)(05)(06)(10)(12)(16)(18)","658.5kcal","","","3699.55kcal"
"2024-06-18","배추김치(09)","0kcal","모듬피클","74.2kcal","열무김치(09)","12.5kcal","","","3699.55kcal"
"2024-06-18","두유","250kcal","","0","","0","","","3699.55kcal"
"2024-06-19","밥","285kcal","흑미밥","288.75kcal","잡곡밥","283.9kcal","","","2677.16kcal"
"2024-06-19","닭고기미역국(05)(06)(15)(16)","81.04kcal","오이지냉국","9.48kcal","오징어무국(05)(06)(16)(17)","80.04kcal","","","2677.16kcal"
"2024-06-19","떡갈비소금구이(01)(05)(10)(16)","386.9kcal","오리훈제배추찜&와사비간장(13)(15)","390.57kcal","버섯감자채볶음","75.37kcal","","","2677.16kcal"
"2024-06-19","오이고추장무침(06)","20.12kcal","깻잎쌈","54.15kcal","부채살불고기(05)(06)(16)","616.74kcal","","","2677.16kcal"
"2024-06-19","백색우유(02)","65kcal","대추방울토마토(12)","8.5kcal","떠먹는발효유(02)","0kcal","","","2677.16kcal"
"2024-06-19","배추김치(09)","0kcal","총각김치(수의)","16.4kcal","깍두기(09)","15.2kcal","","","2677.16kcal"
"2024-06-20","밥","285kcal","열무보리비빔밥(01)(05)","405.21kcal","수제치킨버거(01)(02)(05)(06)(12)","972.77kcal","","","4257.72kcal"
"2024-06-20","어묵국(05)(06)(08)(16)","92kcal","미소된장국(05)","23.92kcal","감자튀김&시즈닝(02)(05)(06)","388.2kcal","","","4257.72kcal"
"2024-06-20","베이컨양배추볶음(10)(18)","172.17kcal","미나리&삼겹살구이(볶음)(10)","689.24kcal","포테이토크림스프(02)(06)","54.92kcal","","","4257.72kcal"
"2024-06-20","소불고기(05)(06)(16)","566.93kcal","모듬쌈&두부쌈장(05)(06)","83.47kcal","백색우유(02)","65kcal","","","4257.72kcal"
"2024-06-20","배추김치(09)","0kcal","수박","88.32kcal","리코타치즈샐러드(02)","129.71kcal","","","4257.72kcal"
"2024-06-20","","0","섞박지(09)","22.8kcal","시리얼(02)(04)(06)","218.06kcal","","","4257.72kcal"
"2024-06-20","","0","","0","탄산음료(콜라)","0kcal","","","4257.72kcal"
"2024-06-21","밥","285kcal","검은콩밥","290.65kcal","현미밥","288.15kcal","","","2850.45kcal"
"2024-06-21","쇠고기무국(05)(06)(16)","71.43kcal","진한소내장탕(완)(10)(16)","423.66kcal","시래기감자탕(05)(06)(10)","341.96kcal","","","2850.45kcal"
"2024-06-21","비엔나소시지케찹볶음(05)(06)(10)(12)","257.79kcal","오징어야채무침(05)(06)(17)","164.28kcal","오미산적(01)(05)(06)(10)","390.9kcal","","","2850.45kcal"
"2024-06-21","김계란말이(01)(12)","134.9kcal","아삭이고추된장무침(05)(06)","35.83kcal","무생채(09)","14.5kcal","","","2850.45kcal"
"2024-06-21","백색우유(02)","65kcal","순무김치(09)","0kcal","배추김치(09)","0kcal","","","2850.45kcal"
"2024-06-21","배추김치(09)","0kcal","","0","과일주스","86.4kcal","","","2850.45kcal"
"2024-06-22","블랙버거(01)(02)(05)(06)(10)(12)(13)(16)(17)","660.27kcal","컵라면(06)","365kcal","밥","285kcal","","","3344.75kcal"
"2024-06-22","훈제닭다리구이(01)(05)(15)","665.4kcal","","0","스팸짜글이(05)(06)(09)(10)(13)(16)","332.4kcal","","","3344.75kcal"
"2024-06-22","팬케이크1(01)(02)(06)","161.28kcal","","0","제육간장불고기(05)(10)","400.39kcal","","","3344.75kcal"
"2024-06-22","백색우유(02)","65kcal","","0","오이지무침","3.19kcal","","","3344.75kcal"
"2024-06-22","양상추샐러드(01)(05)(06)(12)(16)(18)","38.16kcal","","0","배추김치(09)","0kcal","","","3344.75kcal"
"2024-06-22","시리얼&구운계란(01)","287.06kcal","","0","","0","","","3344.75kcal"
"2024-06-22","바나나","81.6kcal","","0","","0","","","3344.75kcal"
"2024-06-23","밥","285kcal","밥","285kcal","밥","285kcal","","","2923.92kcal"
"2024-06-23","근대쇠고기된장국(05)(06)(16)","50.91kcal","새우살계란국(01)(05)(06)(09)(16)","87kcal","순두부찌개(01)(05)(06)(09)(10)(16)","196.99kcal","","","2923.92kcal"
"2024-06-23","햄계란찜(01)(09)(10)","157.71kcal","돼지불고기(05)(06)(10)","397.74kcal","진미채볶음(05)(06)(17)","7.13kcal","","","2923.92kcal"
"2024-06-23","미트볼과일소스조림(05)(06)(10)","316.4kcal","콩나물무침(05)(06)","28.84kcal","눈꽃치즈닭갈비(02)(05)(06)(15)(16)(18)","398.2kcal","","","2923.92kcal"
"2024-06-23","초코우유(02)","194kcal","과일푸딩","116kcal","깍두기(09)","15.2kcal","","","2923.92kcal"
"2024-06-23","배추김치(09)","0kcal","총각김치(수의)","16.4kcal","과일주스","86.4kcal","","","2923.92kcal"
"2024-06-24","햄&치즈베이글(02)(06)(10)","256.7kcal","혼합잡곡밥","292.5kcal","찹쌀밥","302kcal","","","3593.57kcal"
"2024-06-24","옥수수스프(02)(05)(06)","114.27kcal","짬뽕국물(05)(06)(16)(17)(18)","71.6kcal","얼큰두부탕(05)(06)(09)(16)","36.75kcal","","","3593.57kcal"
"2024-06-24","시리얼(02)(04)(06)","218.06kcal","깐풍새우(01)(02)(05)(06)(09)","693.12kcal","등갈비간장조림(05)(06)(10)","850.32kcal","","","3593.57kcal"
"2024-06-24","백색우유(02)","65kcal","왕만두찜(01)(05)(06)(10)","447.67kcal","오이양파무침(05)(06)","22.52kcal","","","3593.57kcal"
"2024-06-24","참깨드레싱샐러드(01)(05)","152.82kcal","단무지","6kcal","오렌지","64.24kcal","","","3593.57kcal"
"2024-06-24","","0","이온음료(포카리)","0kcal","배추김치(09)","0kcal","","","3593.57kcal"
"2024-06-25","밥","285kcal","찹쌀밥","302kcal","흑미밥(소량)","108.75kcal","","","3329.45kcal"
"2024-06-25","쇠고기물만둣국(01)(05)(06)(10)(16)(18)","294.93kcal","사골우거지국(05)(06)(16)","52.89kcal","감바스&브라운브레드(06)(09)(15)","230.9kcal","","","3329.45kcal"
"2024-06-25","어묵고추장볶음(05)(06)","201.22kcal","대패삼겹곱창볶음(05)(06)(10)","227.76kcal","돈마호크카츠(01)(05)(06)(10)(16)","738.96kcal","","","3329.45kcal"
"2024-05-30","배추김치(09)","8kcal","코다리순살꽈리고추조림(05)","96.98kcal","제로사이다","350kcal","","","4418.85kcal"
"2024-05-30","","0","섞박지(09)","22.8kcal","시리얼(02)(04)(06)","218.06kcal","","","4418.85kcal"
"2024-05-30","","0","과일주스","86.4kcal","양배추샐러드(01)(05)(12)","128.02kcal","","","4418.85kcal"
"2024-05-31","밥(1/2)","125kcal","유부장국(01)(05)(06)","39.02kcal","베이컨대파볶음밥(05)(06)(10)(18)","549.57kcal","","","3921.16kcal"
"2024-05-31","떡만둣국(01)(05)(06)(10)(16)","370.95kcal","치킨마크니커리(05)(06)(12)(15)","561.04kcal","미소된장국(05)","33.62kcal","","","3921.16kcal"
"2024-05-31","모듬전(01)(05)(06)(10)(15)(16)","373.3kcal","치즈롤까스(02)(05)(06)(10)(12)(16)(18)","1032.7kcal","닭꼬치(데리맛)(05)(06)(15)","123.2kcal","","","3921.16kcal"
"2024-05-31","락교낙지젓무침(17)","70.05kcal","쫄면콩나물무침(05)(06)","172.3kcal","리코타치즈샐러드(02)","130.01kcal","","","3921.16kcal"
"2024-05-31","백색우유(02)","65kcal","바나나맛우유(02)","237.8kcal","배추김치(09)","8kcal","","","3921.16kcal"
"2024-05-31","깍두기(09)","14.8kcal","총각김치(09)","14.8kcal","","0","","","3921.16kcal"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"2024-06-01","햄참치샌드위치(01)(02)(05)(06)(07)(10)","565.54kcal","","0","밥","285kcal","","","2142.00kcal"
"2024-06-01","버팔로윙(05)(06)(15)","451.7kcal","","0","닭고기무국(05)(06)(15)","83.96kcal","","","2142.00kcal"
"2024-06-01","브로콜리크림스프(02)(06)","4.03kcal","","0","쇠고기야채볶음(05)(06)(16)","309.69kcal","","","2142.00kcal"
"2024-06-01","백색우유(02)","65kcal","","0","콩나물매운무침(05)(06)","29.39kcal","","","2142.00kcal"
"2024-06-01","오리엔탈드레싱샐러드(05)(06)(18)","43.23kcal","","0","배추김치(09)","0kcal","","","2142.00kcal"
"2024-06-01","시리얼(02)(04)(06)","218.06kcal","","0","","0","","","2142.00kcal"
"2024-06-01","과일주스","86.4kcal","","0","","0","","","2142.00kcal"
"2024-06-02","밥","285kcal","밥","285kcal","밥","285kcal","","","2240.09kcal"
"2024-06-02","새우살배추국(05)(06)(09)","38.54kcal","쇠고기육개장(05)(06)(16)","201.63kcal","바지락아욱된장국(05)(06)(18)","38.74kcal","","","2240.09kcal"
"2024-06-02","돼지불고기(05)(06)(10)","397.74kcal","눈꽃치즈닭갈비(02)(05)(06)(15)(16)(18)","398.2kcal","언양식바싹불고기(05)(06)(10)(12)(15)(16)","187.76kcal","","","2240.09kcal"
"2024-06-02","간장깻잎지","8.07kcal","부추겉절이(05)(06)","14.62kcal","오이지무침","3.19kcal","","","2240.09kcal"
"2024-06-02","백색우유(02)","65kcal","총각김치(수의)","16.4kcal","배추김치(09)","0kcal","","","2240.09kcal"
"2024-06-02","깍두기(09)","15.2kcal","","0","","0","","","2240.09kcal"
"2024-06-03","전복죽(완)(18)","329kcal","검은콩밥","290.65kcal","간짜장밥(5)(6)(10)","449.43kcal","","","3331.93kcal"
"2024-06-03","어묵꽈리고추볶음(05)(06)(18)","163.56kcal","미역국(05)(06)","9.53kcal","게살스프(01)(05)(06)(08)","70.18kcal","","","3331.93kcal"
"2024-06-03","무말랭이무침","57.35kcal","잡채(05)(06)","261.52kcal","크런치탕수육(05)(06)(10)","535.7kcal","","","3331.93kcal"
"2024-06-03","백색우유(02)","65kcal","파인애플돼지갈비찜(05)(06)(10)","551.25kcal","대추방울토마토(12)","8.5kcal","","","3331.93kcal"
"2024-06-03","시리얼(02)(04)(06)","218.06kcal","화이트케익(01)(02)(05)(06)","307kcal","깍두기(09)","15.2kcal","","","3331.93kcal"
"2024-06-03","","0","레몬에이드","0kcal","","0","","","3331.93kcal"
"2024-06-03","","0","배추김치(09)","0kcal","","0","","","3331.93kcal"
"2024-06-04","밥","285kcal","열무보리비빔밥(1/2)(01)(05)","217.04kcal","흑미밥","288.75kcal","","","3080.64kcal"
"2024-06-04","쇠고기우거지국(05)(06)(16)","62.41kcal","새우완탕쌀국수(06)(15)","583.49kcal","강된장찌개(05)(06)(18)","121.58kcal","","","3080.64kcal"
"2024-06-04","김자반","110.5kcal","치즈핫도그(02)(05)(06)(10)(12)","264.6kcal","베이컨양배추볶음(10)(18)","172.17kcal","","","3080.64kcal"
"2024-06-04","햄구이(06)(10)(12)(13)","169.2kcal","알배기배추겉절이(09)(16)","24.43kcal","오리고추장불고기(05)(06)(15)","426.29kcal","","","3080.64kcal"
"2024-06-04","감자매운조림(05)(06)(16)","57.48kcal","","0","마시는발효유(02)","0kcal","","","3080.64kcal"
"2024-06-04","딸기우유(02)","282.5kcal","","0","배추김치(09)","0kcal","","","3080.64kcal"
"2024-06-04","깍두기(09)","15.2kcal","","0","","0","","","3080.64kcal"
"2024-06-05","밥","285kcal","밀쌀밥","270.74kcal","찰보리밥","285.8kcal","","","2994.50kcal"
"2024-06-05","쇠고기무국(05)(06)(16)","71.43kcal","한방갈비탕(05)(06)(16)","550.14kcal","꼬치어묵탕(05)(06)","135.83kcal","","","2994.50kcal"
"2024-06-05","동그랑땡데리야끼조림(01)(05)(06)(10)(15)","275.32kcal","코다리순살꽈리고추조림(05)","96.98kcal","떡볶이&삶은계란(01)(05)(06)(08)(16)","331.89kcal","","","2994.50kcal"
"2024-06-05","알마늘낙지젓무침(17)","40.22kcal","오이된장무침(05)(06)(16)","21.73kcal","김말이튀김(05)(06)(13)(16)","369.22kcal","","","2994.50kcal"
