날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2023-11-13","깍두기(수의)(09)","15.2kcal","웅진식품,자연은 제주감귤,180ml","180kcal","대추방울토마토(비생산기)(12)","8.5kcal","","","3021.78kcal"
"2023-11-13","우유(백색우유(200ML,연간))(02)","130kcal","","","","","","","3021.78kcal"
"2023-11-14","밥","237.5kcal","유부우동(05)(06)","52.08kcal","밀쌀밥","238.24kcal","","","3135.63kcal"
"2023-11-14","돼지고기고추장찌개(05)(06)(10)(16)","104.32kcal","국물떡볶이(01)(05)(06)","219.41kcal","순두부찌개(01)(05)(06)(09)(10)(16)","114.18kcal","","","3135.63kcal"
"2023-11-14","조미김","0kcal","모듬튀김(02)(05)(06)(09)(10)(12)(16)(17)(18)","712.5kcal","제육간장불고기(05)(06)(10)","399.11kcal","","","3135.63kcal"
"2023-11-14","햄구이(10)(12)(13)","190.2kcal","쥬시쿨(자두맛)(02)","117kcal","오이양파무침","22.45kcal","","","3135.63kcal"
"2023-11-14","감자조림(05)(06)","99.84kcal","배추김치&단무지","225kcal","파김치","23.6kcal","","","3135.63kcal"
"2023-11-14","깍두기(수의)(09)","15.2kcal","","","라면(즉석 컵)(06)","365kcal","","","3135.63kcal"
"2023-11-15","밥","237.5kcal","찰보리밥","253.3kcal","잡곡밥","243.9kcal","","","3264.33kcal"
"2023-11-15","감자국(05)(06)","82.52kcal","등뼈감자탕(05)(06)(10)","774.46kcal","꼬치어묵탕","45.72kcal","","","3264.33kcal"
"2023-11-15","멸치아몬드볶음(05)(06)","103.29kcal","청포묵무침(01)(05)(06)","74.52kcal","옛날통닭(05)(06)(15)","920kcal","","","3264.33kcal"
"2023-11-15","비엔나소시지야채볶음(05)(06)","281.01kcal","아삭이고추된장무침(05)(06)","35.78kcal","치킨무","7.5kcal","","","3264.33kcal"
"2023-11-15","총각김치(09)","8kcal","섞박지","22.8kcal","배추김치(수의)","10kcal","","","3264.33kcal"
"2023-11-15","우유(백색우유(200ML,연간))(02)","130kcal","","","배(신고)","34.03kcal","","","3264.33kcal"
"2023-11-16","떡만둣국(01)(05)(06)(10)(16)(18)","390.31kcal","밥2","125kcal","찹쌀밥","269.5kcal","","","3377.08kcal"
"2023-11-16","밥2","125kcal","울면(01)(05)(06)(09)(17)","518.93kcal","두부고추장찌개(05)(06)(16)","119.33kcal","","","3377.08kcal"
"2023-11-16","돼지고기깻잎볶음(05)(06)(10)","331.18kcal","청파래오징어까스(01)(05)(06)(17)","602.7kcal","쇠고기불고기(16)","402.57kcal","","","3377.08kcal"
"2023-11-16","계란말이&눈꽃치즈(01)(02)(05)(12)","211.65kcal","양파간장절임","21.06kcal","와사비쌈무","0kcal","","","3377.08kcal"
"2023-11-16","배추김치(수의)","10kcal","배추김치(수의)","10kcal","보쌈김치(09)","55.48kcal","","","3377.08kcal"
"2023-11-16","우유(백색우유(200ML,연간))(02)","130kcal","감귤","54.366kcal","","","","","3377.08kcal"
"2023-11-17","밥","237.5kcal","아보카도불고기덮밥(01)(05)(06)(16)","684.69kcal","현미밥","255.65kcal","","","3574.78kcal"
"2023-11-17","쇠고기무국(05)(06)(16)","52.42kcal","콩나물김치국(05)(06)(09)(16)","17.05kcal","닭고기육개장(01)(05)(06)(15)(16)","131.87kcal","","","3574.78kcal"
"2023-11-17","김치볶음","65.51kcal","옛날사라다빵(01)(02)(05)(06)(10)","244.41kcal","장어순살강정(01)(05)(06)","767.37kcal","","","3574.78kcal"
"2023-11-17","두부찜","77.6kcal","치즈핫도그(02)(05)(06)(10)(12)","302.95kcal","무오이장아찌","45.3kcal","","","3574.78kcal"
"2023-11-17","조미김","0kcal","깍두기(수의)(09)","15.2kcal","총각김치(09)","8kcal","","","3574.78kcal"
"2023-11-17","동그랑땡데리야끼조림(05)(06)(10)","366.26kcal","매일두유 초콜릿 190ml","150kcal","웅진식품,웅진자연은샤인머스켓,340ml","153kcal","","","3574.78kcal"
"2023-11-18","주먹밥(01)(02)(05)(07)","517kcal","라면(즉석 컵)(06)","365kcal","후리가케밥(01)(05)(06)","246.68kcal","","","3093.31kcal"
"2023-11-18","토마토스크램블에그(12)","149.79kcal","","","유부장국(01)(05)(06)","54.27kcal","","","3093.31kcal"
"2023-11-18","양송이스프(02)(06)","28.17kcal","","","매콤닭봉조림(02)(05)(06)(10)(15)(16)(18)","594.03kcal","","","3093.31kcal"
"2023-11-18","시리얼","218.06kcal","","","양상추샐러드(01)(05)(06)(12)(16)(18)","38.11kcal","","","3093.31kcal"
"2023-11-18","햄&치즈크로와상(01)(02)(06)(10)","564.6kcal","","","배추김치(수의)","10kcal","","","3093.31kcal"
"2023-11-18","바나나","81.6kcal","","","농후 발효유(02)","96kcal","","","3093.31kcal"
"2023-11-18","우유(백색우유(200ML,연간))(02)","130kcal","","","","","","","3093.31kcal"
"2023-11-19","밥","237.5kcal","밥","237.5kcal","밥","237.5kcal","","","3365.56kcal"
"2023-11-19","쇠고기감자국(05)(06)(16)","144.36kcal","양지수육곰탕(완)(16)","334.74kcal","근대된장국(05)(06)","36.19kcal","","","3365.56kcal"
"2023-11-19","고기야채말이(05)(06)(10)(12)(15)(16)","265.05kcal","닭매운찜(05)(06)(15)","422.29kcal","제육고추장불고기(05)(06)(10)","643.84kcal","","","3365.56kcal"
"2023-11-19","오징어채야채무침(05)(06)(17)","68.15kcal","오이고추장무침","20.03kcal","콩나물무침(05)(06)","28.84kcal","","","3365.56kcal"
"2023-11-19","배추김치(수의)","10kcal","배추김치(수의)","10kcal","깍두기(수의)(09)","15.2kcal","","","3365.56kcal"
"2023-11-19","우유(백색우유(200ML,연간))(02)","130kcal","아이스크림, 떠먹는형","470kcal","감귤","54.366kcal","","","3365.56kcal"
"2023-11-20","밥","237.5kcal","꼬막비빔밥(05)(06)(18)","288.64kcal","밀쌀밥","238.24kcal","","","3293.77kcal"
"2023-11-20","얼큰김치수제비(05)(06)(16)","64.69kcal","맑은배추국(05)(06)","19.34kcal","팽이버섯된장국(05)(06)","37.33kcal","","","3293.77kcal"
"2023-11-20","햄감자채볶음(10)","159.03kcal","돈육새송이야채볶음(05)(06)(10)","293.1kcal","어떡햄볶음(18)","245.56kcal","","","3293.77kcal"
"2023-11-20","닭고기야채조림(05)(06)(15)","385.85kcal","들깨무나물(05)(06)(16)","61.89kcal","한방소갈비찜(05)(06)(16)","798.6kcal","","","3293.77kcal"
"2023-11-20","가공우유(바나나)(02)","190kcal","배추김치(수의)","10kcal","총각김치(09)","8kcal","","","3293.77kcal"
"2023-01-23","스팸구이(10)(13)","340.25kcal","양배추쌈","13.28kcal","꼬들단무지무침(13)","11.52kcal","","","2940.62kcal"
"2023-01-23","배추김치","0kcal","깍두기(09)","15.2kcal","배추김치","0kcal","","","2940.62kcal"
"2023-01-23","우유(백색우유(200ML,연간))(02)","122kcal","아이스크림 샌드위치(02)","252kcal","웅진식품,자연은망고,180ml","26kcal","","","2940.62kcal"
"2023-01-24","쇠고기죽(완)(16)","265kcal","밥","359.37kcal","밥","359.37kcal","","","2529.56kcal"
"2023-01-24","미트볼데리야끼조림(05)(06)","213.09kcal","쇠고기육개장(05)","33.91kcal","꼬지어묵탕(05)(06)","161.09kcal","","","2529.56kcal"
"2023-01-24","오징어젓무침(17)","59.07kcal","오리고추장주물럭(05)(06)","512.2kcal","쇠고기파프리카볶음(05)(06)(16)(18)","128.41kcal","","","2529.56kcal"
"2023-01-24","시리얼","218.06kcal","부추겉절이(05)(06)","19.99kcal","김자반","0kcal","","","2529.56kcal"
"2023-01-24","총각김치","0kcal","배추김치","0kcal","오이고추장무침","23.63kcal","","","2529.56kcal"
"2023-01-24","우유(백색우유(200ML,연간))(02)","122kcal","감귤","54.366kcal","배추김치","0kcal","","","2529.56kcal"
"2023-01-25","밥","359.37kcal","현미밥","381.15kcal","매콤콩불덮밥(05)(10)","579.3kcal","","","2927.78kcal"
"2023-01-25","햄감자찌개(05)(10)","131.32kcal","닭장각삼계탕(15)","356.79kcal","우족탕(완)","1.95kcal","","","2927.78kcal"
"2023-01-25","돈육김치볶음(10)","191.71kcal","김치메밀전병","230.06kcal","알감자버터구이","342.71kcal","","","2927.78kcal"
"2023-01-25","두부찜(05)","70.6kcal","치커리사과무침(05)(06)","17.25kcal","무부추무침(05)(06)(09)","23.77kcal","","","2927.78kcal"
"2023-01-25","깍두기(09)","15.2kcal","깍두기(09)","15.2kcal","배추김치","0kcal","","","2927.78kcal"
"2023-01-25","우유(백색우유(200ML,연간))(02)","122kcal","짜먹는요구르트(02)","38.4kcal","단감(상품)","51kcal","","","2927.78kcal"
"2023-01-26","밥","359.37kcal","얼큰칼국수(05)","33.53kcal","검은콩밥","383.65kcal","","","3118.22kcal"
"2023-01-26","콩나물무채국(05)","29.25kcal","보리밥&고추장(1/2)","204.45kcal","등뼈감자탕(05)(10)","743.92kcal","","","3118.22kcal"
"2023-01-26","햄감자채볶음(10)","67.12kcal","떡갈비야채볶음(02)(05)(06)(07)(10)(13)(16)(18)","460.21kcal","고추튀김(05)(06)(10)","275.01kcal","","","3118.22kcal"
"2023-01-26","계란장조림(01)(05)(06)(16)","129.57kcal","알배기배추겉절이(09)","61.65kcal","콩나물무침(05)(06)","23.66kcal","","","3118.22kcal"
"2023-01-26","배추김치","0kcal","세척사과","42.63kcal","가공우유(바나나)(02)","167kcal","","","3118.22kcal"
"2023-01-26","우유(백색우유(200ML,연간))(02)","122kcal","","","깍두기(09)","15.2kcal","","","3118.22kcal"
"2023-01-27","밥","359.37kcal","잡곡밥","356.06kcal","찹쌀밥","395kcal","","","2893.61kcal"
"2023-01-27","조갯살미역국(05)","5.72kcal","버섯매운탕(05)","38.52kcal","홍합짬뽕찌개(05)(09)(17)","74.66kcal","","","2893.61kcal"
"2023-01-27","쇠고기야채볶음(05)(06)","217.04kcal","돼지파채불고기(05)(06)(10)","641.31kcal","크림새우(01)(06)(09)","697.15kcal","","","2893.61kcal"
"2023-01-27","연근조림","43.6kcal","조미김","0kcal","단무지","7.2kcal","","","2893.61kcal"
"2023-01-27","배추김치","0kcal","오이양파무침","21.98kcal","배추김치(2)","0kcal","","","2893.61kcal"
"2023-01-27","주스,파인애플","","배추김치","0kcal","딸기(1월~2월)","36kcal","","","2893.61kcal"
"2023-01-28","함박스테이크버거(01)(05)(10)","641.39kcal","","","라면(즉석 컵)(06)","365kcal","","","2343.75kcal"
"2023-01-28","치킨데리야끼볶음밥(브런치)(01)(05)(06)(15)(18)","720kcal","","","","","","","2343.75kcal"
"2023-01-28","버팔로윙(05)(06)(15)","104.05kcal","","","","","","","2343.75kcal"
"2023-01-28","브로콜리크림스프","4.37kcal","","","","","","","2343.75kcal"
"2023-01-28","시리얼","218.06kcal","","","","","","","2343.75kcal"
